country,continent,development,population,roads,size,osmdistancekm,osmdistancemiles,coverage,iso_n3
Uganda,Africa,1,38319241,20000,241038,64300,39954,3.2150,800
Ukraine,Europe,1,44209733,169694,603550,439052,272814,2.5873,804
United Arab Emirates,Asia,1,5927482,4080,83600,45309,28154,11.1053,784
United Kingdom,Europe,1,64430428,394428,243610,515595,320376,1.3072,826
United States,North-America,1,323995528,6586610,9826675,10010424,6220189,1.5198,840
Uruguay,South-America,1,3351016,77732,176215,29229,18162,0.3760,858
Uzbekistan,Asia,1,29473614,86496,447400,94388,58650,1.0912,860
Vanuatu,Oceania,1,277554,1070,12189,2345,1457,2.1914,548
Venezuela,South-America,1,30912302,96189,912050,87532,54390,0.9100,862
Vietnam,Asia,1,95261021,195468,331210,99126,61594,0.5071,704
Virgin Islands,Oceania,1,102951,1260,1910,1598,993,1.2683,null
Yemen,Asia,1,27392779,71300,527968,24987,15526,0.3504,887
Zambia,Africa,1,15510711,40454,752618,50492,31374,1.2481,894
Zimbabwe,Africa,1,14546961,97267,390757,67885,42182,0.6979,716
